"uuid"	"uri"	"uuid"	"uri"
"99abe7bc-b3b3-42ad-b463-13747993d615"	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"8886f883-6510-45ca-a63d-a618974cc673"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"99e97067-10b2-498e-b5db-2f6a7cdd283b"	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"5b2b51b1-f88c-4056-8051-beb7da2b2413"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
a38c7ff1-9287-446d-99fb-d5cb15972056	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"3c94ff9a-8b82-49d0-b4cc-bcacada6ef9f"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"9b6325f4-33df-42b6-b477-e7dec2183622"	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"4eb349a6-40fb-4a71-b2be-0567d6006506"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
a3a9730b-ae2f-463b-a249-12363f544f1f	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"1d520bde-e864-4c59-9203-de6edc41be30"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
a3def0f2-7027-4944-ae61-89f4167484f6	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"4314d731-e0ad-427a-b811-b9b1598c15ec"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"9c0c2b7a-ff5c-42c0-885b-a3b51d93bc0b"	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"6fcb70d3-958e-46c0-8afd-1b8fabf53b8c"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"9c2b6830-5ca5-4ae7-8630-be44ac0d6b94"	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"7f5549bd-e532-4f91-8400-d70e8733e645"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
"9ca19afe-f67d-419f-81db-2fabcc2443aa"	https://lgc.data.wegenenverkeer.be/ns/installatie#SDH	"1a73196e-3f6c-4900-90b6-42ac02166fbf"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
adf678f0-cb33-4269-b6db-23a5412223a1	https://lgc.data.wegenenverkeer.be/ns/installatie#CEN	"098ed69b-c92a-4232-b5d4-b0207c47154c"	https://lgc.data.wegenenverkeer.be/ns/installatie#GebouwLegacy
